Latitude,Longitude,Presence
27.56946,89.874,1
27.593653,89.87074,1
27.586807,89.87366,1
27.618855,89.870224,1
27.581911,89.86385,1
27.5117,89.79517,1
27.610235,89.87134,1
27.50664,89.75301,1
27.641422,89.86413,1
27.60657,89.87453,1
27.457669,90.530419,1
27.59837,89.864731,1
27.011839,90.651133,1
27.026206,90.045736,1
27.241504,90.56413,1
27.481094,89.89687,1
27.05903,90.07103,1
27.17004,90.6588,1
27.510277,89.88805,1
27.400728,89.42201,1
27.46527,89.8987,1
27.344217,90.73513,1
26.863281,90.26818,1
27.124487,90.07279,1
27.578863,89.86362,1
27.472778,89.89506,1
27.115559,90.713394,1
27.209717,90.06815,1
27.552046,89.87046,1
27.502523,89.89032,1
27.469744,90.17115,1
27.498667,89.89324,1
27.482513,89.90468,1
27.52558,89.88314,1
27.097319,90.75606,1
27.55039,89.86938,1
27.146366,90.690765,1
26.778088,89.70308,1
27.03366,90.07583,1
27.172827,90.698685,1
27.41408,89.41948,1
27.129095,90.70434,1
26.773556,90.13338,1
27.4705,89.894875,1
27.509968,89.88697,1
27.23005,90.06363,1
27.497492,90.51842,1
27.141674,90.685814,1
27.499012,90.028366,1
27.113369,90.72839,1
27.033152,90.07763,1
27.11041,90.0729,1
27.02699,90.07496,1
27.823,91.444,1
27.115774,90.73776,1
27.099358,90.703674,1
27.05391,90.07675,1
27.018068,90.10177,1
27.57729,89.87108,1
26.850319,90.9604,1
27.50142,90.50621,1
27.120335,90.71727,1
27.443157,89.812976,1
27.489207,89.978039,1
27.15939,90.93918,1
27.411066,90.40188,1
27.030525,90.71527,1
27.52635,90.103935,1
27.692373,89.7716,1
27.262695,90.03709,1
27.140076,90.69932,1
27.682188,89.77336,1
27.552253,89.91243,1
27.516184,89.817785,1
27.067208,90.056579,1
27.286312,91.082153,1
27.150353,90.679264,1
27.151394,90.641525,1
27.621035,89.86881,1
26.915344,90.04087,1
27.013557,90.06929,1
26.87148,89.6,1
26.819551,90.021736,1
27.050404,90.09869,1
27.609945,89.86941,1
27.083769,90.0739,1
27.054373,90.075516,1
27.120436,90.07156,1
27.070032,90.09863,1
27.536367,89.8671,1
27.072039,90.07266,1
27.103329,90.09955,1
27.134315,90.068085,1
27.150183,90.780813,1
27.690372,89.887932,1
27.222946,90.615524,1
27.179283,90.068489,1
26.869249,90.48661,1
27.486795,89.892799,1
27.032207,90.186966,1
27.017611,90.039658,1
27.627394,89.867744,1
27.106878,90.71943,1
27.554192,89.87512,1
27.535984,89.872086,1
27.094318,90.76329,1
27.453436,89.90442,1
27.48901,89.75629,1
27.274632,90.02973,1
27.563477,89.81152,1
27.52488,89.873,1
27.489944,89.748955,1
27.157207,90.695404,1
27.189135,90.64812,1
27.09414,90.76027,1
27.489132,89.74274,1
27.100756,90.75102,1
27.524397,89.80312,1
27.263626,90.789344,1
27.148,90.637,1
27.60038,89.85471,1
27.592077,89.879776,1
27.133156,90.70421,1
27.596563,89.85524,1
27.266178,90.03796,1
27.156597,90.06962,1
27.604834,89.84799,1
27.211487,90.66204,1
27.177814,90.69182,1
27.08672,90.64265,1
27.16567,90.66431,1
27.607412,89.867516,1
26.846916,90.20879,1
26.971172,90.06878,1
26.946747,90.202965,1
27.01022,90.07232,1
27.551746,89.678472,1
27.009505,90.144929,1
27.399493,90.622442,1
27.767562,89.649435,1
27.708815,89.975596,1
27.747397,89.810443,1
27.818895,89.72841,1
27.13357,90.695305,1
26.9724,90.13585,1
27.006231,90.12403,1
27.339655,89.920975,1
27.090492,90.0722,1
27.093975,90.08291,1
27.000711,90.069565,1
27.49903,89.877075,1
27.047009,90.07846,1
27.622905,89.805444,1
27.373672,90.97881,1
27.369862,90.53357,1
27.458626,89.9058,1
27.045983,90.016384,1
