Scenarios,Ensemble Type,Loss,Absent,Stable,Gain,%Loss,%Gain,Range Change (%),CurrentRangeSize,FutureRangeSize.NoDisp,FutureRangeSize.FullDisp
SSP2-4.5 2050,Emca,6545,29455,3806,3918,63.231,37.851,-25.379,10351,3806,7724
SSP2-4.5 2050,Emmean,6482,35721,187,1334,97.196,20.003,-77.193,6669,187,1521
SSP5-8.5 2050,EMca,6658,29101,3693,4272,64.322,41.271,-23.051,10351,3693,7965
SSP5-8.5 2050,Emmean,6482,35721,187,1334,97.196,20.003,-77.193,6669,187,1521
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Scenarios,Ensemble Type,Loss,Absent,Stable,Gain,%Loss,%Gain,Range Change (%),,,
SSP2-4.5 2050,Emca,6545,29455,3806,3918,63.231,37.851,-25.379,,,
SSP2-4.5 2050,Emmean,6482,35721,187,1334,97.196,20.003,-77.193,,,
SSP5-8.5 2050,EMca,6658,29101,3693,4272,64.322,41.271,-23.051,,,
SSP5-8.5 2050,Emmean,6482,35721,187,1334,97.196,20.003,-77.193,,,
